DATE (MM/DD/YYYY);HOUR-MST;Avg Global Radiation [W/m^2];Avg Zenith Angle [degrees];Avg Azimuth Angle [degrees];Avg Tower Dry Bulb Temp [deg C];Avg Deck Dry Bulb Temp [deg C];Avg Tower Wet Bulb Temp [deg C];Avg Tower Dew Point Temp [deg C];Avg Tower RH [%];Avg Deck RH [%];Avg Total Cloud Cover [%];Avg Opaque Cloud Cover [%];Avg Avg Wind Speed @ 6ft [m/s];Avg Avg Wind Speed @ 33ft [m/s];Avg Peak Wind Speed @ 6ft [m/s];Avg Peak Wind Speed @ 33ft [m/s];Avg Precipitation [mm];Avg Albedo (CM3);Avg Temp [deg C]
1/1/2023;1;-0.1120;1.620.207;437.710;20.255;20.709;-0.5593;-37.891;629.658;623.923;-10.000;-10.000;10.766;24.573;16.958;32.042;0.0000;0.0000;251.437
1/1/2023;2;-0.2526;1.550.994;533.509;17.412;17.575;-0.8137;-40.769;627.450;624.018;-10.000;-10.000;11.165;21.278;17.333;26.574;0.0000;0.0000;251.493
1/1/2023;3;-0.0948;1.448.559;723.599;10.557;14.447;-12.472;-42.372;650.808;628.723;-10.000;-10.000;16.662;26.020;21.125;29.984;0.0000;0.0000;251.487
1/1/2023;4;-0.1798;1.335.843;847.451;0.6325;0.8201;-17.655;-50.672;624.210;614.068;-10.000;-10.000;17.031;27.891;21.500;31.849;0.0000;0.0000;251.403
1/1/2023;5;-0.1672;1.220.803;944.756;12.722;14.104;-14.039;-49.989;599.523;586.837;-10.000;-10.000;12.174;20.645;17.000;25.480;0.0000;0.0000;251.512
1/1/2023;6;-0.0051;1.107.094;1.032.424;0.9901;10.644;-17.409;-55.659;583.022;577.518;-10.000;-10.000;0.9331;15.458;13.158;20.076;0.0000;0.0000;251.423
1/1/2023;7;-0.1679;997.362;1.119.355;0.2373;0.4345;-22.461;-58.144;602.710;589.892;-10.000;-10.000;13.686;22.519;17.917;27.024;0.0000;0.0000;251.375
1/1/2023;8;124.838;892.728;1.211.628;0.1769;0.3176;-23.370;-59.620;597.475;587.957;99.000;40.667;0.8959;19.016;13.425;23.679;0.0000;0.2983;251.388
1/1/2023;9;855.728;800.729;1.314.266;0.4000;0.3144;-22.164;-60.030;585.773;585.392;828.167;521.000;0.8219;15.732;12.150;20.269;0.0000;0.7320;251.480
1/1/2023;10;1.598.033;722.920;1.431.420;10.393;10.030;-17.797;-57.514;571.513;568.658;966.316;783.158;0.9958;15.326;14.000;19.497;0.0000;0.7332;251.588
1/1/2023;11;2.459.067;665.079;1.565.166;29.982;26.302;-0.4418;-49.133;533.970;546.508;983.509;837.719;0.4748;0.9776;0.8442;14.037;0.0000;0.7389;251.810
1/1/2023;12;3.592.900;633.145;1.713.210;35.619;30.778;0.2035;-39.411;558.822;572.943;907.167;572.667;12.193;20.060;15.992;23.745;0.0000;0.7502;251.958
1/1/2023;13;3.814.100;631.172;1.867.515;28.470;21.923;-0.0254;-35.219;608.427;632.998;849.000;576.333;27.717;30.226;33.583;38.154;0.0000;0.7542;251.760
1/1/2023;14;2.467.750;659.433;2.016.928;13.263;11.263;-0.7047;-31.979;696.117;699.653;990.000;922.807;23.606;38.182;29.500;43.687;0.0000;0.7432;251.608
1/1/2023;15;1.939.000;714.269;2.152.767;11.645;0.6368;-0.8500;-33.450;695.467;709.367;992.833;909.500;10.005;29.830;16.292;34.616;0.0000;0.7319;251.532
1/1/2023;16;932.897;789.878;2.272.023;-0.0260;-0.3625;-16.721;-38.254;728.358;738.598;985.263;927.193;15.927;32.314;21.133;36.417;0.0000;0.7215;251.362
1/1/2023;17;197.200;880.102;2.376.354;-0.8365;-0.9620;-22.309;-41.143;759.775;760.280;293.833;175.500;13.137;40.862;20.500;47.225;0.0000;0.3855;251.203
1/1/2023;18;0.0706;983.732;2.469.745;-21.576;-22.635;-29.044;-39.260;862.083;875.267;-10.000;-10.000;21.272;41.274;28.500;47.032;0.0000;0.0000;251.128
1/1/2023;19;-0.1596;1.092.757;2.557.137;-24.986;-27.268;-27.804;-31.554;946.383;994.300;-10.000;-10.000;0.2368;24.499;0.6433;29.147;0.0000;0.0000;251.192
1/1/2023;20;-0.1799;1.206.082;2.644.429;-24.296;-25.722;-25.147;-26.431;982.250;1.000.000;-10.000;-10.000;0.4680;19.768;0.7517;23.036;0.0000;0.0000;251.278
1/1/2023;21;-0.1350;1.321.080;2.740.005;-22.446;-23.321;-22.856;-22.856;996.583;1.000.000;-10.000;-10.000;0.7622;30.241;13.550;35.902;0.0000;0.0000;251.113
1/1/2023;22;-0.0850;1.434.311;2.859.274;-23.218;-24.485;-23.696;-23.696;996.017;1.000.000;-10.000;-10.000;0.2230;20.784;0.5033;25.416;0.0000;0.0000;251.222
1/1/2023;23;-0.1223;1.538.689;3.037.647;-24.574;-26.191;-25.372;-25.388;993.217;1.000.000;-10.000;-10.000;0.6674;23.714;10.742;28.568;0.0000;0.0000;251.207
1/2/2023;0;-0.1138;1.614.051;3.350.874;-25.494;-26.243;-25.823;-26.539;991.267;1.000.000;-10.000;-10.000;0.9254;16.691;12.633;22.843;0.0000;0.0000;251.185
1/2/2023;1;-0.1014;1.619.699;433.656;-27.780;-27.533;-27.830;-28.830;991.167;1.000.000;-10.000;-10.000;0.7454;11.208;10.125;14.948;0.0000;0.0000;251.152
1/2/2023;2;-0.1344;1.551.077;530.222;-27.012;-28.075;-27.133;-28.133;990.617;1.000.000;-10.000;-10.000;0.0000;0.4537;0.0000;0.5830;0.0000;0.0000;251.175
1/2/2023;3;-0.0933;1.448.894;721.260;-28.252;-28.810;-28.530;-29.530;989.267;1.000.000;-10.000;-10.000;0.0798;17.808;0.2750;22.270;0.0000;0.0000;251.148
1/2/2023;4;-0.0693;1.336.259;845.629;-32.549;-33.762;-33.719;-34.719;981.833;1.000.000;-10.000;-10.000;10.744;20.821;15.192;25.545;0.0000;0.0000;251.128
1/2/2023;5;-0.1027;1.221.221;943.200;-34.661;-35.916;-35.763;-36.763;982.367;1.000.000;-10.000;-10.000;0.5243;14.652;0.7633;18.214;0.0000;0.0000;251.108
1/2/2023;6;-0.1147;1.107.465;1.030.998;-35.401;-36.689;-36.577;-37.827;979.650;1.000.000;-10.000;-10.000;0.3663;11.165;0.5500;14.742;0.0000;0.0000;251.117
1/2/2023;7;-0.1234;997.646;1.117.980;-35.957;-37.470;-36.997;-38.997;974.583;1.000.000;-10.000;-10.000;0.6048;22.682;0.9383;26.317;0.0000;0.0000;251.122
1/2/2023;8;32.726;892.881;1.210.251;-35.340;-36.329;-36.486;-37.719;980.050;1.000.000;137.500;60.167;14.866;29.533;20.792;35.838;0.0000;0.4264;251.108
1/2/2023;9;309.102;800.720;1.312.859;-34.576;-35.387;-34.973;-35.974;988.267;1.000.000;902.807;736.140;12.146;15.037;17.000;20.345;0.0000;10.216;251.103
1/2/2023;10;418.832;722.700;1.429.983;-32.881;-35.510;-33.442;-34.442;986.900;1.000.000;971.167;920.833;0.8284;23.367;14.542;28.831;0.0000;10.468;251.107
1/2/2023;11;784.573;664.608;1.563.744;-34.119;-37.264;-35.028;-36.028;983.983;1.000.000;982.333;961.833;16.749;36.135;23.583;43.494;0.0000;10.384;251.078
1/2/2023;12;750.757;632.407;1.711.895;-37.714;-39.405;-39.172;-40.238;978.800;1.000.000;987.000;964.000;23.486;40.301;30.167;47.868;0.0000;10.471;251.028
1/2/2023;13;640.797;630.188;1.866.416;-38.915;-40.631;-40.283;-41.367;979.400;1.000.000;988.167;966.333;23.241;40.758;30.625;48.962;0.0000;10.376;251.045
1/2/2023;14;460.868;658.259;2.016.110;-42.453;-43.406;-43.732;-45.032;978.267;1.000.000;985.000;957.000;21.487;36.940;28.167;44.201;0.0000;10.429;250.978
